index,sample_name,taxon_id,scientific_name,host_subject_id,description,physical_specimen_location,physical_specimen_remaining,collection_timestamp,latitude,longitude,investigation_type,project_name,experimental_factor,geo_loc_name,env_biome,env_feature,env_material,env_package,alt,depth,elev,alkalinity,alkyl_diethers,aminopept_act,ammonium,bacteria_carb_prod,biomass,bishomohopanol,bromide,calcium,carb_nitro_ratio,chem_administration,chloride,chlorophyll,density,diether_lipids,diss_carb_dioxide,diss_hydrogen,diss_inorg_carb,diss_org_carb,diss_org_nitro,diss_oxygen,glucosidase_act,magnesium,mean_frict_vel,mean_peak_frict_vel,methane,misc_param,n_alkanes,nitrate,nitrite,nitro,org_carb,org_matter,org_nitro,organism_count,oxy_stat_samp,part_org_carb,particle_class,perturbation,petroleum_hydrocarb,ph,phaeopigments,phosphate,phosplipid_fatt_acid,porosity,potassium,pressure,redox_potential,salinity,samp_store_dur,samp_store_loc,samp_store_temp,samp_vol_we_dna_ext,sediment_type,silicate,sodium,sulfate,sulfide,temp,tidal_stage,tot_carb,tot_nitro,tot_org_carb,turbidity,water_content,diameter,biomass_watercol,chlorophyll_watercol
Requirement,M,M,M,M,M,M,M,M,M,M,M,M,X,M,M,M,M,M,-,M,M,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Format,{text},{integer},{text},{text},{text},{text},{boolean},yyyy-mm-dd hh:mm,{decimal degrees},{decimal degrees},{term},{text},"{term, text}",GAZ:{term},ENVO:{term},ENVO:{term},ENVO:{term},{term},{float} m,{float} m,{float} m,{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},[DNA];{float} ng/g sediment,{float} {unit},{float} {unit},{float} {unit},{float} {unit},{term}; {timestamp},{float} {unit},{float} ug/g sediment,{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{text};{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} %,{float} {unit},{text};{float} {unit},[aerobic|anaerobic],{float} {unit},{text};{float} {unit},{text};{interval},{float} {unit},{float},{text};{float} {unit},{float} {unit},{text};{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},month,{text},{float} deg c,{float} g,[biogenous|cosmogenous|hydrogenous|lithogenous],{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} {unit},[low|high],{float} {unit},{float} {unit},{float} {unit},{float} {unit},{float} %,{float} m,[DNA];{float} ng/ml H2O,{float} ug/ml H2O
1,CAA001,408169,unspecified,CAA001,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61938,162.99481,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.22,200.5,6.69,,,,,1504,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.329,lithogenous,,,,,,,,,,,30.3,0.28,,0.54
2,CAA002,408169,unspecified,CAA002,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61938,162.99485,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.25,200.52,,,,,,1632,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.544,lithogenous,,,,,,,,,,,30.9,0.27,0.077,0.27
3,CAA003,408169,unspecified,CAA003,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61947,162.99541,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.19,199.55,,,,,,1877,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.356,lithogenous,,,,,,,,,,,27.7,0.25,0,0
4,CAA004,408169,unspecified,CAA004,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61953,162.99559,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.23,199.24,,,,,,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.287,lithogenous,,,,,,,,,,,30.5,0.23,0,0.16
5,CAA005,408169,unspecified,CAA005,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61957,162.99483,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.23,199.63,7.87,,,,,1190,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.319,lithogenous,,,,,,,,,,,26.5,0.175,0.139,0.67
6,CAA006,408169,unspecified,CAA006,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61958,162.99484,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.19,199.6,7.14,,,,,1963,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.360,lithogenous,,,,,,,,,,,25.3,0.22,0,0.09
7,CAA007,408169,unspecified,CAA007,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.62057,162.99128,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.18,197.61,7.61,,,,,2299,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.398,lithogenous,,,,,,,,,,,30.9,0.22,0,0.09
8,CAA008,408169,unspecified,CAA008,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.6206,162.99129,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,197.55,7.03,,,,,719,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.350,lithogenous,,,,,,,,,,,36.4,0.19,,0.09
9,CAA009,408169,unspecified,CAA009,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.62082,162.99224,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.25,195.47,6.72,,,,,2305,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.345,lithogenous,,,,,,,,,,,33.9,0.24,,0.28
10,CAA010,408169,unspecified,CAA010,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.62083,162.99223,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.25,195.46,7.1,,,,,1880,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.384,lithogenous,,,,,,,,,,,26.4,0.25,0,0.18
11,CAA011,408169,unspecified,CAA011,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.62082,162.99128,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.22,196.01,6.6,,,,,1102,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.476,lithogenous,,,,,,,,,,,28.3,0.25,0,0.25
12,CAA012,408169,unspecified,CAA012,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.62082,162.99136,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.25,195.91,,,,,,1999,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.436,lithogenous,,,,,,,,,,,27.8,0.18,0,0.1
13,CAA013,408169,unspecified,CAA013,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.6197,162.98833,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,204.74,7.17,,,,,2305,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.280,lithogenous,,,,,,,,,,,25.2,0.21,0.064,0.24
14,CAA014,408169,unspecified,CAA014,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.6197,162.98838,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.19,204.64,,,,,,1581,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.234,lithogenous,,,,,,,,,,,28.1,0.23,0,0.09
15,CAA015,408169,unspecified,CAA015,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61995,162.989,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,203.06,,,,,,3226,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.260,lithogenous,,,,,,,,,,,31,0.24,,0.63
16,CAA016,408169,unspecified,CAA016,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61995,162.98913,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,203.11,,,,,,2394,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,6.95,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.268,lithogenous,,,,,,,,,,,31,0.19,,0.14
17,CAA017,408169,unspecified,CAA017,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61987,162.98788,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.25,204.08,6.85,,,,,1069,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.387,lithogenous,,,,,,,,,,,29.2,0.25,,0.11
18,CAA018,408169,unspecified,CAA018,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-07,-77.61988,162.98797,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,203.97,6.97,,,,,1622,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.337,lithogenous,,,,,,,,,,,25.9,0.26,,0.1
19,CAA019,408169,unspecified,CAA019,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.6196,163.00104,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,192.01,,,,,,1939,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.568,lithogenous,,,,,,,,,,,25.7,0.23,0.08,0.21
20,CAA020,408169,unspecified,CAA020,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61959,163.00106,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,191.86,,,,,,1168,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.522,lithogenous,,,,,,,,,,,26.2,0.16,,0.11
21,CAA021,408169,unspecified,CAA021,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61968,163.00157,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.28,190.66,,,,,,973,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.309,lithogenous,,,,,,,,,,,26.8,0.14,,0
22,CAA022,408169,unspecified,CAA022,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.6197,163.00136,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.26,191.04,7.37,,,,,1293,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.359,lithogenous,,,,,,,,,,,28,0.24,,0.11
23,CAA023,408169,unspecified,CAA023,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61979,163.00088,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.22,191.5,,,,,,2589,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.364,lithogenous,,,,,,,,,,,26.5,0.2,0,0.14
24,CAA024,408169,unspecified,CAA024,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61979,163.0009,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.22,191.54,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.377,lithogenous,,,,,,,,,,,30.5,0.21,0,0.11
25,CAA025,408169,unspecified,CAA025,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61866,163.00317,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,192.95,,,,,,741,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.407,lithogenous,,,,,,,,,,,25,0.19,,0.09
26,CAA026,408169,unspecified,CAA026,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61865,163.00312,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,193.06,7.29,,,,,829,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.348,lithogenous,,,,,,,,,,,23,0.13,,0.09
27,CAA027,408169,unspecified,CAA027,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61855,163.00301,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.24,193.83,7.08,,,,,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.309,lithogenous,,,,,,,,,,,33,0.2,,0.14
28,CAA028,408169,unspecified,CAA028,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61854,163.00303,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,193.74,6.94,,,,,879,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.381,lithogenous,,,,,,,,,,,22.1,0.19,0,0.17
29,CAA029,408169,unspecified,CAA029,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61861,163.00374,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.19,192.33,,,,,,740,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.377,lithogenous,,,,,,,,,,,25.5,0.15,,0.09
30,CAA030,408169,unspecified,CAA030,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-08,-77.61861,163.00368,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,192.27,,,,,,1052,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.424,lithogenous,,,,,,,,,,,23.1,0.16,,0.09
31,COH001,408169,unspecified,COH001,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.56986,163.28939,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.13,255.04,,,,,,8533,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.320,lithogenous,,,,,,,,,,,28.6,0.18,,0
32,COH002,408169,unspecified,COH002,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.56987,163.28937,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,255.05,,,,,,2270,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.336,lithogenous,,,,,,,,,,,36.9,0.28,,0.21
33,COH003,408169,unspecified,COH003,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.56985,163.28829,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.18,256.18,,,,,,7237,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.411,lithogenous,,,,,,,,,,,33.1,0.33,,0.32
34,COH004,408169,unspecified,COH004,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.56985,163.28826,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.15,256.27,,,,,,7054,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.474,lithogenous,,,,,,,,,,,30.6,0.24,0.51625,0
35,COH005,408169,unspecified,COH005,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.56957,163.28844,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,258.03,7.2,,,,,5964,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.289,lithogenous,,,,,,,,,,,31.5,0.26,0.1,0.11
36,COH006,408169,unspecified,COH006,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.56955,163.28836,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.16,258.16,,,,,,5878,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.422,lithogenous,,,,,,,,,,,35.1,0.28,,0.1
37,COH007,408169,unspecified,COH007,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.5715,163.28811,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.16,243.66,,,,,,3907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.441,lithogenous,,,,,,,,,,,32.1,0.18,0.106,0
38,COH008,408169,unspecified,COH008,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57155,163.28847,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.24,243.14,7.15,,,,,8672,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.329,lithogenous,,,,,,,,,,,32.4,0.29,0.079,0.2
39,COH009,408169,unspecified,COH009,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57163,163.28742,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,243.08,,,,,,1533,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.445,lithogenous,,,,,,,,,,,30.2,0.27,,0.1
40,COH010,408169,unspecified,COH010,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57161,163.28732,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.14,243.23,,,,,,2669,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.385,lithogenous,,,,,,,,,,,28.7,0.3,0,0
41,COH011,408169,unspecified,COH011,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57142,163.2875,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.23,244.64,,,,,,5601,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.351,lithogenous,,,,,,,,,,,31.8,0.25,,0.11
