index,sample_name,taxon_id,scientific_name,host_subject_id,description,physical_specimen_location,physical_specimen_remaining,collection_timestamp,latitude,longitude,investigation_type,project_name,experimental_factor,geo_loc_name,env_biome,env_feature,env_material,env_package,alt,depth,elev,alkalinity,alkyl_diethers,aminopept_act,ammonium,bacteria_carb_prod,biomass,bishomohopanol,bromide,calcium,carb_nitro_ratio,chem_administration,chloride,chlorophyll,density,diether_lipids,diss_carb_dioxide,diss_hydrogen,diss_inorg_carb,diss_org_carb,diss_org_nitro,diss_oxygen,glucosidase_act,magnesium,mean_frict_vel,mean_peak_frict_vel,methane,misc_param,n_alkanes,nitrate,nitrite,nitro,org_carb,org_matter,org_nitro,organism_count,oxy_stat_samp,part_org_carb,particle_class,perturbation,petroleum_hydrocarb,ph,phaeopigments,phosphate,phosplipid_fatt_acid,porosity,potassium,pressure,redox_potential,salinity,samp_store_dur,samp_store_loc,samp_store_temp,samp_vol_we_dna_ext,sediment_type,silicate,sodium,sulfate,sulfide,temp,tidal_stage,tot_carb,tot_nitro,tot_org_carb,turbidity,water_content,diameter,biomass_watercol,chlorophyll_watercol
42,COH012,408169,unspecified,COH012,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57145,163.28746,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,244.69,7.33,,,,,7505,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.370,lithogenous,,,,,,,,,,,33.4,0.19,,0.25
43,COH013,408169,unspecified,COH013,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57113,163.27985,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,250.97,,,,,,9649,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.362,lithogenous,,,,,,,,,,,50.8,0.23,0.16,2.45
44,COH014,408169,unspecified,COH014,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57114,163.27985,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.15,250.91,,,,,,7149,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.303,lithogenous,,,,,,,,,,,29.4,0.18,,0
45,COH015,408169,unspecified,COH015,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57102,163.2793,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.14,251.9,,,,,,2996,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.335,lithogenous,,,,,,,,,,,26.7,0.28,,0
46,COH016,408169,unspecified,COH016,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57103,163.27929,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,251.89,7.25,,,,,8658,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.332,lithogenous,,,,,,,,,,,34.2,0.26,0.202222222,0.58
47,COH017,408169,unspecified,COH017,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.5712,163.2789,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,251.13,,,,,,4322,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.380,lithogenous,,,,,,,,,,,34.2,0.2,0.053,0
48,COH018,408169,unspecified,COH018,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-16,-77.57122,163.27885,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.15,251.08,,,,,,3178,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.389,lithogenous,,,,,,,,,,,33.3,0.21,0.076,0.48
49,COH019,408169,unspecified,COH019,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.56993,163.29554,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,249.08,,,,,,6528,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.449,lithogenous,,,,,,,,,,,32.1,0.23,,0.21
50,COH020,408169,unspecified,COH020,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.56993,163.29553,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,249.07,,,,,,3946,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.315,lithogenous,,,,,,,,,,,32.2,0.19,0.059,3.08
51,COH021,408169,unspecified,COH021,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.57008,163.29618,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.12,247.57,,,,,,6541,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.437,lithogenous,,,,,,,,,,,28.3,0.22,0.348,0
52,COH022,408169,unspecified,COH022,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.57008,163.29625,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,247.52,,,,,,6246,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.270,lithogenous,,,,,,,,,,,29.4,0.25,,0.13
53,COH023,408169,unspecified,COH023,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.57011,163.2955,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.21,247.98,,,,,,4779,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.391,lithogenous,,,,,,,,,,,36.3,0.2,0.067,0.13
54,COH024,408169,unspecified,COH024,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.57007,163.29541,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.19,248.27,,,,,,2807,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.328,lithogenous,,,,,,,,,,,31.4,0.23,,0.58
55,COH025,408169,unspecified,COH025,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.5686,163.29799,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.24,254.09,,,,,,7878,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.324,lithogenous,,,,,,,,,,,38.5,0.24,0.066,0.25
56,COH026,408169,unspecified,COH026,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.56858,163.29804,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.24,254.11,6.96,,,,,1303,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.348,lithogenous,,,,,,,,,,,31.2,0.19,,0
57,COH027,408169,unspecified,COH027,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.56867,163.29859,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.24,253.36,,,,,,5722,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.379,lithogenous,,,,,,,,,,,31.3,0.28,,1.09
58,COH028,408169,unspecified,COH028,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.56866,163.29859,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.2,253.35,,,,,,3101,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.315,lithogenous,,,,,,,,,,,30.7,0.25,0,0.2
59,COH029,408169,unspecified,COH029,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.56851,163.2989,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.17,253.58,7.28,,,,,3379,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.499,lithogenous,,,,,,,,,,,17,0.3,,2
60,COH030,408169,unspecified,COH030,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-17,-77.56852,163.29894,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.18,253.49,7.41,,,,,3380,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.354,lithogenous,,,,,,,,,,,33.2,0.24,0.061,0.87
61,TAR001,408169,unspecified,TAR001,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74158,162.10514,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.27,357.82,7.21,,,,,228,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.402,lithogenous,,,,,,,,,,,19.7,0.19,,0.09
62,TAR002,408169,unspecified,TAR002,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74158,162.10531,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.3,357.53,7.01,,,,,287,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.351,lithogenous,,,,,,,,,,,20.7,0.25,,0.09
63,TAR003,408169,unspecified,TAR003,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74144,162.10565,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.38,356.96,7.24,,,,,176,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.483,lithogenous,,,,,,,,,,,18.8,0.22,,0.09
64,TAR004,408169,unspecified,TAR004,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74144,162.10569,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.37,356.84,7.16,,,,,198,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.328,lithogenous,,,,,,,,,,,18.1,0.26,0,0.09
65,TAR005,408169,unspecified,TAR005,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74162,162.10625,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.35,356.38,7.05,,,,,320,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.458,lithogenous,,,,,,,,,,,22.8,0.26,,0.09
66,TAR006,408169,unspecified,TAR006,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74162,162.10631,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.35,356.22,7.17,,,,,90,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.322,lithogenous,,,,,,,,,,,21.8,0.24,,0.09
67,TAR007,408169,unspecified,TAR007,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.7424,162.11302,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.37,345.7,7.35,,,,,135,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.392,lithogenous,,,,,,,,,,,20.6,0.21,0,0
68,TAR008,408169,unspecified,TAR008,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74241,162.11306,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.38,345.18,7.8,,,,,236,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.451,lithogenous,,,,,,,,,,,21.5,0.24,,0.09
69,TAR009,408169,unspecified,TAR009,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74241,162.11307,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.39,345.83,7.27,,,,,24,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.434,lithogenous,,,,,,,,,,,19,0.18,,0.09
70,TAR010,408169,unspecified,TAR010,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74243,162.11384,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.43,344.21,7.48,,,,,92,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.441,lithogenous,,,,,,,,,,,16.2,0.24,,0.08
71,TAR011,408169,unspecified,TAR011,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.7426,162.11331,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.41,344.78,7.84,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.400,lithogenous,,,,,,,,,,,20.7,0.21,,0.47
72,TAR012,408169,unspecified,TAR012,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74261,162.11327,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.38,344.89,6.44,,,,,85,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.344,lithogenous,,,,,,,,,,,18.8,0.21,0,0.1
73,TAR013,408169,unspecified,TAR013,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74077,162.11634,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.37,342.83,6.92,,,,,125,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.355,lithogenous,,,,,,,,,,,19,0.23,0,0.09
74,TAR014,408169,unspecified,TAR014,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74078,162.11628,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.34,342.91,,,,,,144,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.401,lithogenous,,,,,,,,,,,22.4,0.22,,0.11
75,TAR015,408169,unspecified,TAR015,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74059,162.11651,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.33,342.94,7.27,,,,,441,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.324,lithogenous,,,,,,,,,,,20.2,0.2,,0.13
76,TAR016,408169,unspecified,TAR016,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74057,162.11662,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.34,342.72,6.48,,,,,305,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.417,lithogenous,,,,,,,,,,,17.6,0.2,,0.09
77,TAR017,408169,unspecified,TAR017,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.74059,162.11574,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.35,343.75,8.05,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.532,lithogenous,,,,,,,,,,,-2.1,0.18,0,0.09
78,TAR018,408169,unspecified,TAR018,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-12,-77.7406,162.11574,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.39,343.61,,,,,,46,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.358,lithogenous,,,,,,,,,,,21,0.2,0,0.09
79,TAR019,408169,unspecified,TAR019,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.74184,162.12433,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.42,336.53,7.98,,,,,53,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.268,lithogenous,,,,,,,,,,,19.7,0.19,,0.08
80,TAR020,408169,unspecified,TAR020,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.74178,162.12447,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.42,336.36,7.65,,,,,59,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.360,lithogenous,,,,,,,,,,,19.6,0.18,0,0.09
81,TAR021,408169,unspecified,TAR021,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.74205,162.12526,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.36,335.42,7.79,,,,,37,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.290,lithogenous,,,,,,,,,,,20.2,0.23,0,0.1
82,TAR022,408169,unspecified,TAR022,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.7421,162.12517,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.39,335.14,7.43,,,,,47,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.385,lithogenous,,,,,,,,,,,19.9,0.2,0,0.16
83,TAR023,408169,unspecified,TAR023,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.74177,162.12543,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.42,335.87,7.24,,,,,0,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.355,lithogenous,,,,,,,,,,,18.9,0.17,0,0.16
84,TAR024,408169,unspecified,TAR024,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.74178,162.12549,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.41,335.42,7.49,,,,,275,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.383,lithogenous,,,,,,,,,,,19.6,0.18,0,0.09
85,TAR025,408169,unspecified,TAR025,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.73992,162.12709,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.34,333.83,7.58,,,,,78,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.352,lithogenous,,,,,,,,,,,19.6,0.19,,0.08
86,TAR026,408169,unspecified,TAR026,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.73992,162.12706,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.36,333.92,6.44,,,,,435,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.458,lithogenous,,,,,,,,,,,20.8,0.25,,0.1
87,TAR027,408169,unspecified,TAR027,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.73982,162.12633,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.34,334.81,,,,,,137,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.456,lithogenous,,,,,,,,,,,20.6,0.25,0,0.08
88,TAR028,408169,unspecified,TAR028,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.73981,162.12628,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.36,334.85,6.51,,,,,106,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.369,lithogenous,,,,,,,,,,,20,0.22,0,0.09
89,TAR029,408169,unspecified,TAR029,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.74012,162.12658,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.38,334.26,7.3,,,,,77,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.385,lithogenous,,,,,,,,,,,19.8,0.19,0,0.07
90,TAR030,408169,unspecified,TAR030,cryoconite hole,University of Colorado Boulder,TRUE,2016-11-15,-77.74011,162.12656,Mimarks-survey,Stochasticity and Cyroconite Community Assembly and Function,,Antarctica,polar desert biome,glacial feature,sediment,sediment,,0.37,334.26,7.08,,,,,146,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,1,Crary Lab,-20,0.357,lithogenous,,,,,,,,,,,20.4,0.21,0,0.11
